## Stop Codon Detection Results ##
Protein Sequence Name	DNA Sequence Name	Stop Codon	DNA Start Position	Protein Position	Inferred Amino Acid
DNA.ASV_1487	DNA.ASV_1487	TGA	595	199	G(100.0%)
DNA.ASV_7760	DNA.ASV_7760	TAG	463	155	Q(95.0%),R(5.0%)
RNA.ASV_0080	RNA.ASV_0080	TAG	724	242	Q(100.0%)
RNA.ASV_0097	RNA.ASV_0097	TAG	724	242	Q(100.0%)
RNA.ASV_0427	RNA.ASV_0427	TAG	724	242	Q(100.0%)
RNA.ASV_0488	RNA.ASV_0488	TAG	724	242	Q(100.0%)
RNA.ASV_2268	RNA.ASV_2268	TAG	463	155	Q(95.0%),R(5.0%)
RNA.ASV_2698	RNA.ASV_2698	TAG	724	242	Q(100.0%)
RNA.ASV_3026	RNA.ASV_3026	TAG	724	242	Q(100.0%)
RNA.ASV_3372	RNA.ASV_3372	TAG	724	242	Q(100.0%)
